"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/10/2016","43","Ozone","San Martin","06-085-2006","AQS","9","43",".",".","16"
"09/11/2016","32","Ozone","Los Gatos","06-085-1001","AQS","8","32",".",".","6"
"09/12/2016","29","Ozone","Gilroy","06-085-0002","AQS","7","29","19",".","7"
"09/13/2016","36","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","32",".","36","16"
"09/14/2016","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","41",".","43","23"
"09/15/2016","48","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","43",".","48","23"
"09/16/2016","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","46",".","53","24"
"09/17/2016","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","51",".","54","23"
"09/18/2016","100","Ozone","San Martin","06-085-2006","AQS","11","100","21","54","32"
"09/19/2016","74","Ozone","Los Gatos","06-085-1001","AQS","15","74",".","58","40"
"09/20/2016","50","Ozone","San Martin","06-085-2006","AQS","9","50",".","47","25"
"09/21/2016","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","34","21","44","28"
"09/22/2016","33","Ozone","San Martin","06-085-2006","AQS","6","33",".","30","20"
"09/23/2016","36","Ozone","Gilroy","06-085-0002","AQS","9","36",".","33","27"
"09/24/2016","45","Ozone","San Martin","06-085-2006","AQS","9","45","19","32","24"
"09/25/2016","71","Ozone","San Jose - Jackson","06-085-0005","AQS","13","71",".","31","39"
"09/26/2016","87","Ozone","San Jose - Jackson","06-085-0005","AQS","10","87",".","47","41"
"09/27/2016","77","Ozone","San Martin","06-085-2006","AQS","13","77",".","40","45"
"09/28/2016","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","36",".","40","27"
"09/29/2016","55","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","38",".","55","23"
"09/30/2016","62","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","38","18","62","20"
"10/01/2016","40","Ozone","San Martin","06-085-2006","AQS","7","40",".","31","23"
"10/02/2016","35","Ozone","San Martin","06-085-2006","AQS","6","35",".","32","17"
"10/03/2016","33","Ozone","Los Gatos","06-085-1001","AQS","7","33","14","25","23"
"10/04/2016","39","Ozone","San Martin","06-085-2006","AQS","6","39",".","21","23"
"10/05/2016","37","Ozone","Gilroy","06-085-0002","AQS","8","37",".","34","29"
"10/06/2016","38","Ozone","San Martin","06-085-2006","AQS","10","38",".","37","27"
"10/07/2016","42","Ozone","Gilroy","06-085-0002","AQS","14","42",".","40","35"
"10/08/2016","64","Ozone","San Jose - Jackson","06-085-0005","AQS","14","64",".","43","42"
"10/09/2016","64","Ozone","Los Gatos","06-085-1001","AQS","14","64","21","42","39"
"10/10/2016","45","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","37",".","45","31"
"10/11/2016","39","Ozone","San Martin","06-085-2006","AQS","6","39",".","32","15"
"10/12/2016","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","36","19","44","25"
"10/13/2016","31","Ozone","San Martin","06-085-2006","AQS","10","31",".","29","27"
"10/14/2016","23","Ozone","San Jose - Jackson","06-085-0005","AQS","6","23",".","21","14"
"10/15/2016","27","Ozone","San Jose - Jackson","06-085-0005","AQS","6","27","10","19","13"
"10/16/2016","31","Ozone","San Martin","06-085-2006","AQS","6","31",".","13","12"
